NO,共通ID,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
1,E1322800001201,増戸会館,東京都あきる野市伊奈1157-5,1,1,,1,,1,1,,,35.72746011,139.2476138,
2,E1322800002201,増戸小学校体育館,東京都あきる野市伊奈1173,1,1,,1,,1,1,,1,35.72750545,139.2480071,
3,E1322800002202,増戸小学校校庭,東京都あきる野市伊奈1173,,,,1,,1,,,1,35.72781837,139.248575,
4,E1322800003201,増戸中学校体育館,東京都あきる野市伊奈1181,1,1,,1,,1,1,,1,35.72798723,139.2504071,
5,E1322800003202,増戸中学校校庭,東京都あきる野市伊奈1181,,,,1,,1,,,1,35.72782497,139.2496944,
6,E1322800004201,森の下公園,東京都あきる野市伊奈851-2,,,,1,,1,,,,35.72922965,139.2558231,
7,E1322800005201,五日市ファインプラザ,東京都あきる野市伊奈859-3,1,1,,1,,1,1,,1,35.72931313,139.2554061,
8,E1322800006201,楓ヶ原会館,東京都あきる野市引田512-2,1,1,,1,,1,1,,,35.72386922,139.2685267,
9,E1322800007201,一の谷児童館,東京都あきる野市引田928,,1,,1,,1,,,,35.72008621,139.271012,
10,E1322800008201,一の谷小学校体育館,東京都あきる野市引田980,,1,,1,,1,,,1,35.72072812,139.2723702,
11,E1322800008202,一の谷小学校校庭,東京都あきる野市引田980,,,,1,,1,,,1,35.71980095,139.2721558,
12,E1322800009201,いきいきセンター,東京都あきる野市雨間1946,1,1,,1,,1,1,,,35.71664545,139.2914978,
13,E1322800010201,南秋留児童館,東京都あきる野市雨間801-2,1,1,,1,,1,1,,,35.72074375,139.2920658,
14,E1322800011202,南秋留小学校校庭,東京都あきる野市雨間810,,,,1,,1,,,1,35.72049543,139.292906,
15,E1322800011201,南秋留小学校体育館,東京都あきる野市雨間810,1,1,,1,,1,1,,1,35.72077358,139.2934681,
16,E1322800012201,鳥居場会館,東京都あきる野市雨間999-2,1,1,,1,,1,1,,,35.71989709,139.295955,
17,E1322800013203,小宮ふるさと自然体験学校校庭,東京都あきる野市乙津1984,,,,1,,1,,,1,35.73399664,139.1835173,
18,E1322800013201,小宮ふるさと自然体験学校体育館,東京都あきる野市乙津1984,1,1,,1,,1,1,,1,35.73421684,139.1840185,
19,E1322800013202,小宮ふるさと自然体験学校２・３Ｆ,東京都あきる野市乙津1984,1,1,,1,,1,1,,1,35.73413571,139.1833492,
20,E1322800014201,小宮会館,東京都あきる野市乙津1997,1,1,,1,,1,1,,,35.73371185,139.1829997,
21,E1322800015201,ふるさと工房五日市,東京都あきる野市乙津671,1,1,,1,,1,1,,1,35.72340375,139.1794573,
22,E1322800016201,市民球場,東京都あきる野市原小宮353,,,,1,,1,,,,35.73692365,139.300373,
23,E1322800017201,戸倉会館,東京都あきる野市戸倉133-4,1,,,1,,1,1,,,35.72611976,139.2046745,
24,E1322800018201,アートスタジオ五日市,東京都あきる野市戸倉300,1,,,1,,1,1,,,35.72699465,139.2040014,
25,E1322800019202,戸倉しろやまテラスグラウンド,東京都あきる野市戸倉325,,,,1,,1,,,1,35.72577109,139.204407,
26,E1322800019201,戸倉しろやまテラス体育館,東京都あきる野市戸倉325,1,1,,1,,1,1,,1,35.7255422,139.2039405,
27,E1322800020201,戸倉運動場,東京都あきる野市戸倉611-1,,,,1,,1,,,,35.72976471,139.1991224,
28,E1322800021201,五日市小学校体育館,東京都あきる野市五日市315,1,1,,1,,1,1,,1,35.73153504,139.2229722,
29,E1322800021202,五日市小学校校庭,東京都あきる野市五日市315,,,,1,,1,,,1,35.73130325,139.2223927,
30,E1322800022201,五日市中学校体育館,東京都あきる野市五日市400,1,,,1,,1,1,,1,35.73087832,139.2215601,
31,E1322800022202,五日市中学校校庭,東京都あきる野市五日市400,,,,1,,1,,,1,35.72983526,139.2214442,
32,E1322800023201,五日市地域交流センター,東京都あきる野市五日市411,1,1,,1,,1,1,,1,35.72939404,139.2199667,
33,E1322800024201,五日市会館,東京都あきる野市五日市412,1,1,,1,,1,1,,1,35.72978604,139.2201453,
34,E1322800025201,都立五日市高等学校校庭,東京都あきる野市五日市894,,,,1,,1,,,,35.72941152,139.2188841,
35,E1322800026201,山田グラウンド,東京都あきる野市山田1-1,,,,1,,1,,,,35.72206805,139.2577435,
36,E1322800027201,あきる野ルピア３・４Ｆ,東京都あきる野市秋川1-8,1,1,,1,,1,1,,1,35.72993295,139.2871015,
37,E1322800028201,玉見会館,東京都あきる野市小川東2-9-8,1,1,,1,,1,1,,,35.7192481,139.3210208,
38,E1322800029201,小峰運動公園,東京都あきる野市小峰台11,,,,1,,1,,,,35.72074818,139.2351369,
39,E1322800030201,小和田グラウンド,東京都あきる野市小和田8,,,,1,,1,,,,35.72290313,139.2271734,
40,E1322800031201,西中学校体育館,東京都あきる野市上代継190,1,1,,1,,1,1,,1,35.73007358,139.2771769,
41,E1322800031202,西中学校校庭,東京都あきる野市上代継190,,,,1,,1,,,1,35.7294883,139.277994,
42,E1322800032201,西秋留小学校体育館,東京都あきる野市上代継292,1,1,,1,,1,1,,1,35.72311777,139.2773229,
43,E1322800032202,西秋留小学校校庭,東京都あきる野市上代継292,,,,1,,1,,,1,35.7232047,139.2764131,
44,E1322800033201,若葉児童館,東京都あきる野市上代継303-5,1,1,,1,,1,1,,,35.72315556,139.2777042,
45,E1322800034201,千代里会館,東京都あきる野市上代継424,1,1,,1,,1,1,,,35.72083567,139.2777468,
46,E1322800035201,代継会館,東京都あきる野市上代継693-1,,1,,1,,1,,,,35.71885932,139.2802156,
47,E1322800036201,菅生交流会館,東京都あきる野市菅生582,1,1,,1,,1,1,,,35.743905,139.289465,
48,E1322800037201,草花台会館,東京都あきる野市草花1327-1,1,1,,1,,1,1,,,35.73630636,139.3139394,
49,E1322800038201,多西児童館,東京都あきる野市草花2572,1,1,,1,,1,1,,,35.74309725,139.2992951,
50,E1322800039201,多西小学校体育館,東京都あきる野市草花2885,1,1,,1,,1,1,,1,35.7422314,139.2993332,
51,E1322800039202,多西小学校校庭,東京都あきる野市草花2885,,,,1,,1,,,1,35.74166931,139.3002488,
52,E1322800040203,草花小学校校庭,東京都あきる野市草花3130,,,,1,,1,,,1,35.73663262,139.3053277,
53,E1322800040202,草花小学校体育館,東京都あきる野市草花3130,1,1,,1,,1,1,,1,35.73686441,139.3062028,
54,E1322800040201,草花児童センター,東京都あきる野市草花3130,1,1,,1,,1,1,,1,35.73605314,139.3050612,
55,E1322800041202,御堂中学校校庭,東京都あきる野市草花3322,,,,1,,1,,,1,35.74022292,139.296601,
56,E1322800041201,御堂中学校体育館,東京都あきる野市草花3322,1,1,,1,,1,1,,1,35.74093568,139.2963461,
57,E1322800042201,御堂会館,東京都あきる野市草花3482-16,,1,,1,,1,,,,35.73891637,139.300371,
58,E1322800043201,二宮地区会館,東京都あきる野市二宮1151,1,1,,1,,1,1,,,35.72738565,139.3134582,
59,E1322800044202,秋多中学校校庭,東京都あきる野市二宮334,,,,1,,1,,,1,35.73069685,139.2942322,
60,E1322800044201,秋多中学校体育館,東京都あきる野市二宮334,1,1,,1,,1,1,,1,35.73090546,139.2934672,
61,E1322800045201,都立秋留台公園,東京都あきる野市二宮673-1,,,,1,,1,,,,35.73092603,139.3002892,
62,E1322800046202,秋川体育館,東京都あきる野市二宮683,1,1,,1,,1,1,,1,35.73017814,139.3023001,
63,E1322800046201,中央公民館,東京都あきる野市二宮683,1,1,,1,,1,1,,1,35.73020132,139.3026594,
64,E1322800047201,総合グラウンド,東京都あきる野市二宮東1-11-2,,,,1,,1,,,,35.72587981,139.3252775,
65,E1322800048201,屋城小学校体育館,東京都あきる野市二宮東1-12-1,1,1,,1,,1,1,,1,35.72441425,139.3233184,
66,E1322800049201,屋城児童館,東京都あきる野市二宮東1-13-1,1,1,,1,,1,1,,,35.72405338,139.3222484,
67,E1322800050201,都立秋留台高等学校校庭,東京都あきる野市平沢153-4,,,,1,,1,,,,35.73309041,139.3006982,
68,E1322800051201,東中学校体育館,東京都あきる野市平沢200,1,1,,1,,1,1,,1,35.73274474,139.302522,
69,E1322800051202,東中学校校庭,東京都あきる野市平沢200,,,,1,,1,,,1,35.73197983,139.3028465,
70,E1322800052201,農業会館,東京都あきる野市平沢300-2,1,1,,1,,1,1,,,35.73185596,139.309162,
71,E1322800053201,東秋留小学校体育館,東京都あきる野市野辺1123,1,1,,1,,1,1,,1,35.72437416,139.3063925,
72,E1322800053202,東秋留小学校校庭,東京都あきる野市野辺1123,,,,1,,1,,,1,35.72407862,139.3057261,
73,E1322800053203,若竹児童館,東京都あきる野市野辺1123,1,1,,1,,1,1,,1,35.72413657,139.3066301,
74,E1322800054201,前田児童館及び野辺地区会館,東京都あきる野市野辺126-4,1,1,,1,,1,1,,,35.72314082,139.3136818,
75,E1322800055202,前田小学校校庭,東京都あきる野市野辺92,,,,1,,1,,,1,35.72405871,139.3147054,
76,E1322800055201,前田小学校体育館,東京都あきる野市野辺92,1,1,,1,,1,1,,1,35.7237342,139.3138362,
77,E1322800056201,油平クラブハウス,東京都あきる野市油平92-7,1,1,,1,,1,1,,,35.72665108,139.2875531,
78,E1322800057201,養沢センター,東京都あきる野市養沢290-1,,,,1,,1,,,,35.7465553,139.1855303,
79,E1322800058201,都立小峰公園,東京都あきる野市留原284-1,,,,1,,1,,,,35.719118,139.231861,
80,E1322400070201,ドキわくランド聖蹟桜ヶ丘店立体駐車場２階から屋上,東京都一ノ宮1-25-1,1,,,,,,1,,,35.651449,139.440917,
81,E1322500001201,稲城第四小学校,東京都稲城市押立1250,,,,1,,1,,,1,35.64452144569,139.51645662169,
82,E1322500002201,稲城第四中学校,東京都稲城市押立1768,,,,1,,1,,,1,35.645674764888,139.51833553271,
83,E1322500004201,稲城第五中学校,東京都稲城市向陽台3-1-1,1,1,,1,,1,,,1,35.638072123739,139.49009040029,
84,E1322500005201,向陽台小学校,東京都稲城市向陽台3-2,1,1,,1,,1,,,1,35.636699494986,139.48778143905,
85,E1322500006201,稲城中央公園野球場,東京都稲城市向陽台4-1-1,,,,1,,1,,,,35.636017049296,139.4860559447,
86,E1322500007201,城山公園,東京都稲城市向陽台4-6,,,,1,,1,,,,35.642131679562,139.48879789741,
87,E1322500008201,城山小学校,東京都稲城市向陽台6-17,1,1,,1,,1,,,1,35.64341187566,139.49378140663,
88,E1322500011201,都立若葉総合高等学校グラウンド,東京都稲城市坂浜1434-3,,,,1,,1,,,,35.618266135369,139.47792348696,
89,E1322500048201,稲城第二中学校,東京都稲城市坂浜5-1-1,1,1,,1,,1,,,1,35.615996,139.481155,
90,E1322500012201,稲城第二小学校,東京都稲城市坂浜590,1,1,,1,,1,,,1,35.625233558752,139.48556265612,
91,E1322500014201,若葉台公園,東京都稲城市若葉台1-19-1,,,,1,,1,,,,35.625528922324,139.47323035629,
92,E1322500015201,稲城第六中学校,東京都稲城市若葉台3-11,1,1,,1,,1,,,1,35.624371488578,139.46766102395,
93,E1322500016201,若葉台小学校,東京都稲城市若葉台4-5,1,1,,1,,1,,,1,35.626245700204,139.46817207982,
94,E1322500017201,稲城第三小学校,東京都稲城市大丸100,,,,1,,1,,,1,35.643118158023,139.49995965828,
95,E1322500018201,大丸公園,東京都稲城市大丸1097,,,,1,,1,,,,35.647290822272,139.48708591297,
96,E1322500019201,稲城第六小学校,東京都稲城市大丸2110,,,,1,,1,,,1,35.649988641794,139.49894921211,
97,E1322500020201,大丸第二公園,東京都稲城市大丸3111-1,,,,1,,1,,,,35.650508552363,139.49673440134,
98,E1322500024201,稲城中央公園総合グラウンド,東京都稲城市長峰1-1,1,1,,1,,1,,,1,35.63310461743,139.48740777804,
99,E1322500026201,長峰小学校,東京都稲城市長峰2-8,1,1,,1,,1,,,1,35.62922221167,139.48235720035,
100,E1322500027201,吉方公園,東京都稲城市東長沼1728,,,,1,,1,,,,35.639097399563,139.51052915485,
101,E1322500031201,北緑地公園,東京都稲城市東長沼2996,,,,1,,1,,,,35.649698645082,139.50323740911,
102,E1322500032201,稲城第一小学校,東京都稲城市東長沼956,,,,1,,1,,,1,35.640487747673,139.51154394064,
103,E1322500034201,稲城第一中学校,東京都稲城市百村23,1,1,,1,,1,,,1,35.640041708003,139.49927942342,
104,E1322500036201,複合施設ふれんど平尾,東京都稲城市平尾1-9-1,1,1,,1,,1,,,1,35.61418266472,139.4918845866,
105,E1322500037201,平尾小学校,東京都稲城市平尾3-1-3,1,1,,1,,1,,,1,35.610908706359,139.48907636703,
106,E1322500038201,平尾近隣公園,東京都稲城市平尾3-7-20,1,1,,1,,1,,,,35.60995198309,139.49056815537,
107,E1322500042201,稲城第七小学校,東京都稲城市矢野口1901-2,,,,1,,1,,,1,35.635251604823,139.52058494212,
108,E1322500045201,稲城第三中学校,東京都稲城市矢野口3043,1,1,,1,,1,,,1,35.636147522012,139.50762222245,
109,E1322500046201,南山小学校,東京都稲城市矢野口3635,1,1,,1,,1,,,1,35.628527159364,139.50876679098,
110,E1322500047201,公益社団法人九段盡性園,東京都稲城市矢野口3750-11,,,,1,,1,,,1,35.644536309399,139.52040268688,
111,E1322700001201,松林小学校,東京都羽村市羽4122-2,1,1,,1,,1,,,1,35.7680292552087,139.330168048219,
112,E1322700002201,羽村西小学校,東京都羽村市羽加美4-2-9,1,1,,1,,1,,,1,35.7651733616927,139.300074844557,
113,E1322700003201,羽村第一中学校,東京都羽村市羽中3-6-33,1,1,,1,,1,,,1,35.7617454068419,139.307157156076,
114,E1322700004201,羽村東小学校,東京都羽村市羽東2-18-1,1,1,,1,,1,,,1,35.7544934230903,139.31314981139,
115,E1322700005201,栄小学校,東京都羽村市栄町2-17,1,1,,1,,1,,,1,35.7718623672865,139.312328550581,
116,E1322700006201,武蔵野公園,東京都羽村市栄町2-5,1,1,,1,,1,,,,35.7736213041043,139.310357181727,
117,E1322700007201,富士見小学校,東京都羽村市五ノ神4-9-5,1,1,,1,,1,,,1,35.7622492817164,139.317502169764,
118,E1322700008201,小作台小学校,東京都羽村市小作台4-13-1,1,1,,1,,1,,,1,35.7735127142544,139.29871530457,
119,E1322700009201,あさひ公園,東京都羽村市神明台3-31,1,1,,1,,1,,,,35.7595898425598,139.327460422116,
120,E1322700010201,武蔵野小学校,東京都羽村市川崎693-1,1,1,,1,,1,,,1,35.7609806075711,139.332493539372,
121,E1322700011201,羽村第三中学校,東京都羽村市川崎697-1,1,1,,1,,1,,,1,35.7614312911156,139.334212641738,
122,E1322700012201,羽村第二中学校,東京都羽村市富士見平1-16,1,1,,1,,1,,,1,35.7648776914814,139.324887495938,
123,E1322700013201,富士見公園,東京都羽村市緑ケ丘4-11,1,1,,1,,1,,,,35.767916658027,139.315897880706,
124,E1322400073201,ベルブ永山１階駐車場（４０台）,東京都永山1-5,1,1,,,,,1,,,35.628251,139.448417,
125,E1338200001201,御蔵島村社会福祉協議会,東京都御蔵島村字かんぶり,1,1,1,1,1,1,1,1,1,33.896223,139.59177,
126,E1338200003201,御蔵島村観光資料館,東京都御蔵島村字家の下,1,1,1,1,1,1,1,1,1,33.896758,139.592161,
127,E1338200004201,御蔵島村開発総合センター,東京都御蔵島村字宮の下,1,1,1,1,1,1,1,1,1,33.895026,139.593257,
128,E1338200005201,御蔵島小中学校,東京都御蔵島村字入かねが沢,1,1,1,1,1,1,1,1,1,33.8969,139.595331,
129,E1312300002201,松江五中,東京都江戸川区一之江6-18-1,,,,1,,,,,1,35.688863559998,139.877441195,
130,E1312300003201,都立葛西工科高校,東京都江戸川区一之江7-68-1,,,,1,,,,,1,35.683604,139.878877,
131,E1312300004201,葛西二中,東京都江戸川区宇喜田町1085,,,,1,,,,,1,35.678974213846,139.86206752468,
132,E1312300005201,篠崎二中,東京都江戸川区下篠崎町14-1,,,,1,,,,,1,35.699532720716,139.91301812017,
133,E1312300006201,江戸川小,東京都江戸川区江戸川1-1-16,,,,1,,,,,1,35.686318995216,139.90686367549,
134,E1312300007201,下鎌田東小,東京都江戸川区江戸川2-16-31,,,,1,,,,,1,35.68671164477,139.90133912643,
135,E1312300008201,瑞江中,東京都江戸川区江戸川4-16,,,,1,,,,,1,35.679448970974,139.88439291926,
136,E1312300009201,一之江小,東京都江戸川区江戸川5-18-3,,,,1,,,,,1,35.674606103559,139.87935955887,
137,E1312300115201,二之江小,東京都江戸川区江戸川6-44,,,,1,,,,,1,35.67572,139.879288,
138,E1312300010201,鹿骨中,東京都江戸川区鹿骨2-12-1,,,,1,,,,,1,35.707874199605,139.89340274068,
139,E1312300011201,鹿骨東小,東京都江戸川区鹿骨3-7-1,,,,1,,,,,1,35.711468169077,139.89239424528,
140,E1312300012201,小岩五中,東京都江戸川区鹿骨5-27-1,,,,1,,,,,1,35.717401880907,139.88620856306,
141,E1312300013201,鹿骨松本小,東京都江戸川区鹿骨6-3-5,,,,1,,,,,1,35.712674557582,139.88422282247,
142,E1312300015201,篠崎小,東京都江戸川区篠崎町3-2-18,,,,1,,,,,1,35.704740426327,139.9089377542,
143,E1312300016201,篠崎中,東京都江戸川区篠崎町5-12-19,,,,1,,,,,1,35.70305721104,139.90878223554,
144,E1312300017201,篠崎四小,東京都江戸川区篠崎町8-12-8,,,,1,,,,,1,35.704760795701,139.89885240592,
145,E1312300018201,春江中,東京都江戸川区春江町2-47-1,,,,1,,,,,1,35.70105146397,139.89125599861,
146,E1312300019201,一之江二小,東京都江戸川区春江町4-16,,,,1,,,,,1,35.682347647109,139.87842396435,
